Y,ID,X,City,1cm,1cmyear,100cm,100cmyear
28,1828,P,南相馬,0.8,3.6048,0.66,2.86896
28,1728,Q,南相馬,1.03,4.81368,0.5,2.028
28,1628,R,南相馬,0.96,4.44576,0.52,2.13312
28,1528,S,南相馬,1.01,4.70856,0.5,2.028
28,1428,T,南相馬,0.47,1.87032,0.42,1.60752
28,1328,U,南相馬,0.8,3.6048,0.43,1.66008
28,1228,V,南相馬,0.61,2.60616,0.49,1.97544
28,1128,W,南相馬,0.6,2.5536,0.5,2.028
28,1028,X,南相馬,0.33,1.13448,0.33,1.13448
28,0928,Y,南相馬,0.22,0.55632,0.25,0.714
29,2529,I,南相馬,2.55,12.8028,1.59,7.75704
29,2329,K,南相馬,2,9.912,0.97,4.49832
29,2229,L,南相馬,0.44,1.71264,0.4,1.5024
29,2129,M,南相馬,1.2,5.7072,0.57,2.39592
29,2029,N,南相馬,1.16,5.49696,0.62,2.65872
29,1929,O,南相馬,1.12,5.28672,0.92,4.23552
29,1829,P,南相馬,1.14,5.39184,0.63,2.71128
29,1729,Q,南相馬,0.6,2.5536,0.42,1.60752
29,1629,R,南相馬,0.95,4.3932,0.55,2.2908
29,1529,S,南相馬,0.74,3.28944,0.53,2.18568
29,1429,T,南相馬,0.6,2.5536,0.56,2.34336
29,1329,U,南相馬,0.7,3.0792,0.47,1.87032
29,1229,V,南相馬,0.72,3.18432,0.54,2.23824
29,1129,W,南相馬,0.56,2.34336,0.44,1.71264
29,0929,Y,南相馬,0.21,0.50376,0.23,0.60888
29,0829,Z,南相馬,0.26,0.76656,0.26,0.76656
30,2530,I,南相馬,1.86,9.17616,1.28,6.12768
30,2430,J,南相馬,2.14,10.64784,1.42,6.86352
30,2330,K,南相馬,0.9,4.1304,0.96,4.44576
30,2230,L,南相馬,1.44,6.96864,0.85,3.8676
30,2130,M,南相馬,1.05,4.9188,1.03,4.81368
30,2030,N,南相馬,1.13,5.33928,0.75,3.342
30,1930,O,南相馬,1.58,7.70448,0.98,4.55088
30,1830,P,南相馬,0.71,3.13176,0.6,2.5536
30,1730,Q,南相馬,0.9,4.1304,0.82,3.70992
30,1630,R,南相馬,0.94,4.34064,0.45,1.7652
30,1530,S,南相馬,1.06,4.97136,0.54,2.23824
30,1430,T,南相馬,0.62,2.65872,0.44,1.71264
30,1330,U,南相馬,0.52,2.13312,0.45,1.7652
30,1230,V,南相馬,0.56,2.34336,0.42,1.60752
30,1130,W,南相馬,0.35,1.2396,0.3,0.9768
30,0930,Y,南相馬,0.27,0.81912,0.29,0.92424
30,0830,Z,南相馬,0.26,0.76656,0.28,0.87168
31,2431,J,南相馬,2.32,11.59392,1.8,8.8608
31,2331,K,南相馬,2.05,10.1748,1.25,5.97
31,2231,L,南相馬,0.92,4.23552,0.79,3.55224
31,2131,M,南相馬,2.23,11.12088,1.38,6.65328
31,2031,N,南相馬,0.91,4.18296,0.78,3.49968
31,1931,O,南相馬,0.6,2.5536,0.56,2.34336
31,1831,P,南相馬,1.2,5.7072,0.75,3.342
31,1731,Q,南相馬,0.67,2.92152,0.54,2.23824
31,1631,R,南相馬,0.55,2.2908,0.52,2.13312
31,1531,S,南相馬,0.5,2.028,0.36,1.29216
31,1431,T,南相馬,0.85,3.8676,0.49,1.97544
31,1331,U,南相馬,0.39,1.44984,0.37,1.34472
31,1231,V,南相馬,0.48,1.92288,0.39,1.44984
31,1131,W,南相馬,0.51,2.08056,0.33,1.13448
31,1031,X,南相馬,0.43,1.66008,0.37,1.34472
31,0931,Y,南相馬,0.34,1.18704,0.3,0.9768
31,0831,Z,南相馬,0.25,0.714,0.24,0.66144
32,2532,I,南相馬,2.13,10.59528,1.87,9.22872
32,2432,J,南相馬,2.03,10.06968,1.74,8.54544
32,2332,K,南相馬,1.24,5.91744,1.2,5.7072
32,2232,L,南相馬,1.02,4.76112,1.15,5.4444
32,2132,M,南相馬,1.46,7.07376,0.8,3.6048
32,2032,N,南相馬,1.12,5.28672,0.68,2.97408
32,1932,O,南相馬,0.54,2.23824,0.54,2.23824
32,1832,P,南相馬,1.32,6.33792,0.54,2.23824
32,1732,Q,南相馬,0.72,3.18432,0.6,2.5536
32,1632,R,南相馬,0.89,4.07784,0.58,2.44848
32,1532,S,南相馬,0.98,4.55088,0.4,1.5024
32,1432,T,南相馬,0.77,3.44712,0.37,1.34472
32,1332,U,南相馬,0.74,3.28944,0.31,1.02936
32,1232,V,南相馬,0.38,1.39728,0.33,1.13448
32,1132,W,南相馬,0.3,0.9768,0.25,0.714
32,1032,X,南相馬,0.25,0.714,0.25,0.714
32,0932,Y,南相馬,0.28,0.87168,0.3,0.9768
32,0832,Z,南相馬,0.28,0.87168,0.26,0.76656
33,2633,H,南相馬,3.77,19.21512,2.72,13.69632
33,2533,I,南相馬,2.88,14.53728,2.33,11.64648
33,2433,J,南相馬,2.51,12.59256,1.45,7.0212
33,2333,K,南相馬,1.93,9.54408,1.7,8.3352
33,2233,L,南相馬,2.04,10.12224,1.71,8.38776
33,2133,M,南相馬,0.95,4.3932,1.02,4.76112
33,2033,N,南相馬,1.16,5.49696,0.94,4.34064
33,1933,O,南相馬,1.78,8.75568,1.08,5.07648
33,1833,P,南相馬,1.1,5.1816,0.45,1.7652
33,1733,Q,南相馬,1.48,7.17888,0.57,2.39592
33,1633,R,南相馬,0.85,3.8676,0.44,1.71264
33,1533,S,南相馬,0.82,3.70992,0.42,1.60752
33,1433,T,南相馬,0.47,1.87032,0.35,1.2396
33,1333,U,南相馬,0.51,2.08056,0.36,1.29216
33,1233,V,南相馬,0.44,1.71264,0.35,1.2396
33,1133,W,南相馬,0.32,1.08192,0.3,0.9768
33,1033,X,南相馬,0.29,0.92424,0.25,0.714
34,2634,H,南相馬,3.45,17.5332,3.1,15.6936
34,2534,I,南相馬,3.32,16.84992,2.4,12.0144
34,2434,J,南相馬,2.55,12.8028,1.86,9.17616
34,2334,K,南相馬,1.74,8.54544,1.48,7.17888
34,2234,L,南相馬,1.66,8.12496,1.44,6.96864
35,2535,I,南相馬,2.53,12.69768,2.06,10.22736
35,2435,J,南相馬,1.43,6.91608,2.3,11.4888
35,2335,K,南相馬,1.85,9.1236,1.53,7.44168
35,2135,M,南相馬,2.1,10.4376,1.24,5.91744
35,2035,N,南相馬,1.59,7.75704,1.43,6.91608
36,2836,F,南相馬,9.87,51.27672,5.12,26.31072
39,3039,D,南相馬,7.54,39.03024,5.12,26.31072
40,3040,D,南相馬,8.67,44.96952,6.67,34.45752
