,15期,,5～14期,,３～4期,,１～2期,,,,,,,,
,SN,EW,旧（SN),旧（EW),旧（SN),旧（EW),旧（SN),旧（EW),地域,,,lookup,,,newid
13,55,6,ノ,60,26,60,6,Ｐ,浪江,12,,60ノ,06,55,0655
14,56,6,オ,60,27,60,7,Ｐ,浪江,12,,60オ,06,56,0656
15,57,6,ク,60,28,60,8,Ｐ,浪江,12,,60ク,06,57,0657
16,53,5,ウ,61,24,61,4,Ｑ,浪江,12,,61ウ,05,53,0553
17,54,5,ヰ,61,25,61,5,Ｑ,浪江,12,,61ヰ,05,54,0554
18,55,5,ノ,61,26,61,6,Ｑ,浪江,12,,61ノ,05,55,0555
19,56,5,オ,61,27,61,7,Ｑ,浪江,12,,61オ,05,56,0556
20,57,5,ク,61,28,61,8,Ｑ,浪江,12,,61ク,05,57,0557
21,53,4,ウ,62,24,62,4,Ｒ,浪江,12,,62ウ,04,53,0453
22,54,4,ヰ,62,25,62,5,Ｒ,浪江,12,,62ヰ,04,54,0454
23,55,4,ノ,62,26,62,6,Ｒ,浪江,12,,62ノ,04,55,0455
24,56,4,オ,62,27,62,7,Ｒ,浪江,12,,62オ,04,56,0456
25,57,4,ク,62,28,62,8,Ｒ,浪江,12,,62ク,04,57,0457
26,53,3,ウ,63,24,63,4,Ｓ,浪江,12,,63ウ,03,53,0353
27,54,3,ヰ,63,25,63,5,Ｓ,浪江,12,,63ヰ,03,54,0354
28,55,3,ノ,63,26,63,6,Ｓ,浪江,12,,63ノ,03,55,0355
29,56,3,オ,63,27,63,7,Ｓ,浪江,12,,63オ,03,56,0356
30,57,3,ク,63,28,63,8,Ｓ,浪江,12,,63ク,03,57,0357
31,56,2,オ,64,27,64,7,Ｔ,浪江,12,,64オ,02,56,0256
32,57,2,ク,64,28,64,8,Ｔ,浪江,12,,64ク,02,57,0257
1,58,9,ヤ,57,29,57,―,―,浪江,13,,57ヤ,09,58,0958
2,59,9,マ,57,30,57,10,Ｍ,浪江,13,,57マ,09,59,0959
3,60,9,ケ,57,31,57,11,Ｍ,浪江,13,,57ケ,09,60,0960
4,58,8,ヤ,58,29,58,―,―,浪江,13,,58ヤ,08,58,0858
5,59,8,マ,58,30,58,10,Ｎ,浪江,13,,58マ,08,59,0859
6,60,8,ケ,58,31,58,11,Ｎ,浪江,13,,58ケ,08,60,0860
7,58,7,ヤ,59,29,59,―,―,浪江,13,,59ヤ,07,58,0758
8,59,7,マ,59,30,59,10,Ｏ,浪江,13,,59マ,07,59,0759
9,58,6,ヤ,60,29,60,―,―,浪江,13,,60ヤ,06,58,0658
10,59,6,マ,60,30,60,10,Ｐ,浪江,13,,60マ,06,59,0659
11,60,6,,60,31,60,11,Ｐ,浪江,13,,60,06,60,0660
12,58,5,ヤ,61,29,61,―,―,浪江,13,,61ヤ,05,58,0558
13,59,5,マ,61,30,61,10,Ｑ,浪江,13,,61マ,05,59,0559
14,60,5,ケ,61,31,61,11,Ｑ,浪江,13,,61ケ,05,60,0560
15,61,5,フ,61,32,61,12,Ｑ,浪江,13,,61フ,05,61,0561
16,58,4,ヤ,62,29,62,―,―,浪江,13,,62ヤ,04,58,0458
17,59,4,マ,62,30,62,10,Ｒ,浪江,13,,62マ,04,59,0459
18,60,4,ケ,62,31,62,11,Ｒ,浪江,13,,62ケ,04,60,0460
19,61,4,フ,62,32,62,12,Ｒ,浪江,13,,62フ,04,61,0461
20,62,4,コ,62,33,62,13,Ｒ,浪江,13,,62コ,04,62,0462
21,63,4,エ,62,34,62,14,Ｒ,浪江,13,,62エ,04,63,0463
22,58,3,ヤ,63,29,63,9,Ｓ,浪江,13,,63ヤ,03,58,0358
23,59,3,マ,63,30,63,10,Ｓ,浪江,13,,63マ,03,59,0359
24,60,3,ケ,63,31,63,11,Ｓ,浪江,13,,63ケ,03,60,0360
25,61,3,フ,63,32,63,12,Ｓ,浪江,13,,63フ,03,61,0361
26,62,3,コ,63,33,63,13,Ｓ,浪江,13,,63コ,03,62,0362
27,63,3,エ,63,34,63,14,Ｓ,浪江,13,,63エ,03,63,0363
28,59,2,ヤ,64,29,64,9,Ｔ,浪江,13,,64ヤ,02,59,0259
29,59,2,マ,64,30,64,10,Ｔ,浪江,13,,64マ,02,59,0259
30,60,2,ケ,64,31,64,11,Ｔ,浪江,13,,64ケ,02,60,0260
31,61,2,フ,64,32,64,12,Ｔ,浪江,13,,64フ,02,61,0261
