ID, Y, X, City, 1cm, 1cmyear, 100cm, 100cmyear, Date
0347,03,47,小高,,-0.6,,-0.6,2018-10
0348,03,48,小高,0.11,-0.02184,0.14,0.13584,2018-10
0349,03,49,小高,0.13,0.08328,0.09,-0.12696,2018-10
0350,03,50,小高,0.13,0.08328,0.13,0.08328,2018-10
0351,03,51,小高,0.13,0.08328,0.13,0.08328,2018-10
0352,03,52,小高,0.15,0.1884,0.18,0.34608,2018-10
0433,04,33,原町,0.11,-0.02184,0.11,-0.02184,2018-10
0434,04,34,原町,0.11,-0.02184,0.12,0.03072,2018-10
0435,04,35,原町,0.11,-0.02184,0.11,-0.02184,2018-10
0436,04,36,原町,0.1,-0.0744,0.09,-0.12696,2018-10
0437,04,37,原町,0.11,-0.02184,0.1,-0.0744,2018-10
0438,04,38,原町,0.13,0.08328,0.1,-0.0744,2018-10
0439,04,39,小高,0.11,-0.02184,0.11,-0.02184,2018-10
0443,04,43,小高,0.1,-0.0744,0.11,-0.02184,2018-10
0444,04,44,小高,0.1,-0.0744,0.1,-0.0744,2018-10
0445,04,45,小高,0.1,-0.0744,0.09,-0.12696,2018-10
0446,04,46,小高,0.11,-0.02184,0.1,-0.0744,2018-10
0447,04,47,小高,0.08,-0.17952,0.16,0.24096,2018-10
0448,04,48,小高,0.07,-0.23208,0.11,-0.02184,2018-10
0449,04,49,小高,0.13,0.08328,0.14,0.13584,2018-10
0450,04,50,小高,0.11,-0.02184,0.08,-0.17952,2018-10
0451,04,51,小高,0.12,0.03072,0.1,-0.0744,2018-10
0452,04,52,小高,0.16,0.24096,0.12,0.03072,2018-10
0530,05,30,原町,0.1,-0.0744,0.08,-0.17952,2018-10
0531,05,31,原町,0.11,-0.02184,0.11,-0.02184,2018-10
0532,05,32,原町,0.11,-0.02184,0.11,-0.02184,2018-10
0533,05,33,原町,0.15,0.1884,0.14,0.13584,2018-10
0534,05,34,原町,0.11,-0.02184,0.1,-0.0744,2018-10
0535,05,35,原町,0.14,0.13584,0.1,-0.0744,2018-10
0536,05,36,原町,0.1,-0.0744,0.19,0.39864,2018-10
0537,05,37,原町,0.11,-0.02184,0.05,-0.3372,2018-10
0538,05,38,原町,0.14,0.13584,0.13,0.08328,2018-10
