ID,Y,,City,1cm,1cmyear,100cm,100cmyear,Date
2401,1,24,鹿島,0.15,0.1884,0.17,0.29352,2015-10
2101,1,21,鹿島,0.11,-0.02184,0.19,0.39864,2015-10
2001,1,20,鹿島,0.17,0.29352,0.14,0.13584,2015-10
1901,1,19,鹿島,0.12,0.03072,0.15,0.1884,2015-10
1801,1,18,鹿島,0.13,0.08328,0.16,0.24096,2015-10
1701,1,17,鹿島,0.15,0.1884,0.16,0.24096,2015-10
1601,1,16,鹿島,0.13,0.08328,0.16,0.24096,2015-10
2502,2,25,鹿島,0.16,0.24096,0.18,0.34608,2015-10
2402,2,24,鹿島,0.14,0.13584,0.2,0.4512,2015-10
2302,2,23,鹿島,0.12,0.03072,0.16,0.24096,2015-10
2202,2,22,鹿島,0.13,0.08328,0.11,-0.02184,2015-10
2102,2,21,鹿島,0.15,0.1884,0.15,0.1884,2015-10
2002,2,20,鹿島,0.2,0.4512,0.14,0.13584,2015-10
1902,2,19,鹿島,0.15,0.1884,0.14,0.13584,2015-10
1802,2,18,鹿島,0.14,0.13584,0.19,0.39864,2015-10
1702,2,17,鹿島,0.13,0.08328,0.13,0.08328,2015-10
1602,2,16,鹿島,0.18,0.34608,0.26,0.76656,2015-10
1502,2,15,鹿島,0.24,0.66144,0.13,0.08328,2015-10
1402,2,14,鹿島,0.13,0.08328,0.14,0.13584,2015-10
1302,2,13,鹿島,0.1,-0.0744,0.12,0.03072,2015-10
2703,3,27,鹿島,0.18,0.34608,0.23,0.60888,2015-10
2503,3,25,鹿島,0.18,0.34608,0.19,0.39864,2015-10
2403,3,24,鹿島,0.2,0.4512,0.2,0.4512,2015-10
2303,3,23,鹿島,0.2,0.4512,0.2,0.4512,2015-10
2203,3,22,鹿島,0.23,0.60888,0.19,0.39864,2015-10
2103,3,21,鹿島,0.15,0.1884,0.16,0.24096,2015-10
2003,3,20,鹿島,0.15,0.1884,0.15,0.1884,2015-10
1903,3,19,鹿島,0.3,0.9768,0.3,0.9768,2015-10
1803,3,18,鹿島,0.27,0.81912,0.23,0.60888,2015-10
1703,3,17,鹿島,0.12,0.03072,0.12,0.03072,2015-10
1603,3,16,鹿島,0.11,-0.02184,0.11,-0.02184,2015-10
1503,3,15,鹿島,0.14,0.13584,0.13,0.08328,2015-10
1403,3,14,鹿島,0.13,0.08328,0.16,0.24096,2015-10
1303,3,13,鹿島,0.17,0.29352,0.12,0.03072,2015-10
1203,3,12,鹿島,0.08,-0.17952,0.09,-0.12696,2015-10
1103,3,11,鹿島,0.15,0.1884,0.13,0.08328,2015-10
3204,4,32,鹿島,0.19,0.39864,0.24,0.66144,2015-10
3104,4,31,鹿島,0.19,0.39864,0.22,0.55632,2015-10
3004,4,30,鹿島,0.15,0.1884,0.17,0.29352,2015-10
2904,4,29,鹿島,0.21,0.50376,0.19,0.39864,2015-10
2704,4,27,鹿島,0.2,0.4512,0.23,0.60888,2015-10
2604,4,26,鹿島,0.2,0.4512,0.24,0.66144,2015-10
2504,4,25,鹿島,0.2,0.4512,0.14,0.13584,2015-10
2404,4,24,鹿島,0.16,0.24096,0.19,0.39864,2015-10
2304,4,23,鹿島,0.12,0.03072,0.13,0.08328,2015-10
2204,4,22,鹿島,0.14,0.13584,0.13,0.08328,2015-10
2104,4,21,鹿島,0.15,0.1884,0.16,0.24096,2015-10
2004,4,20,鹿島,0.23,0.60888,0.17,0.29352,2015-10
1904,4,19,鹿島,0.16,0.24096,0.14,0.13584,2015-10
1804,4,18,鹿島,0.17,0.29352,0.23,0.60888,2015-10
1704,4,17,鹿島,0.13,0.08328,0.09,-0.12696,2015-10
1604,4,16,鹿島,0.14,0.13584,0.14,0.13584,2015-10
1504,4,15,鹿島,0.18,0.34608,0.16,0.24096,2015-10
1404,4,14,鹿島,0.15,0.1884,0.16,0.24096,2015-10
