ID,X,Y,City,1cm,1cmyear,100cm,100cmyear,Date
6240,62,40,浪江,0.52,2.13312,0.28,0.87168,2015-04
6241,62,41,浪江,0.31,1.02936,0.29,0.92424,2015-04
6242,62,42,浪江,0.39,1.44984,0.34,1.18704,2015-04
6139,61,39,浪江,0.27,0.81912,0.23,0.60888,2015-04
6141,61,41,浪江,0.3,0.9768,0.27,0.81912,2015-04
6142,61,42,浪江,1.52,7.38912,1.32,6.33792,2015-04
6042,60,42,浪江,0.63,2.71128,0.74,3.28944,2015-04
5943,59,43,浪江,0.68,2.97408,0.84,3.81504,2015-04
5944,59,44,浪江,0.44,1.71264,0.68,2.97408,2015-04
5837,58,37,浪江,2.22,11.06832,1.47,7.12632,2015-04
5838,58,38,浪江,1.35,6.4956,1.21,5.75976,2015-04
5843,58,43,浪江,0.34,1.18704,0.37,1.34472,2015-04
5844,58,44,浪江,0.43,1.66008,0.53,2.18568,2015-04
5738,57,38,浪江,1.45,7.0212,1.73,8.49288,2015-04
5739,57,39,浪江,1.46,7.07376,1.4,6.7584,2015-04
5743,57,43,浪江,0.33,1.13448,0.49,1.97544,2015-04
5744,57,44,浪江,0.44,1.71264,0.3,0.9768,2015-04
5633,56,33,浪江,1.84,9.07104,1.98,9.80688,2015-04
5635,56,35,浪江,2.18,10.85808,1.95,9.6492,2015-04
5639,56,39,浪江,3.04,15.37824,4,20.424,2015-04
5640,56,40,浪江,1.1,5.1816,1.23,5.86488,2015-04
5643,56,43,浪江,1.08,5.07648,1.12,5.28672,2015-04
5644,56,44,浪江,0.38,1.39728,0.68,2.97408,2015-04
5645,56,45,浪江,0.6,2.5536,0.74,3.28944,2015-04
5646,56,46,浪江,0.5,2.028,0.33,1.13448,2015-04
5533,55,33,浪江,3.29,16.69224,2.64,13.27584,2015-04
5534,55,34,浪江,2.45,12.2772,2.05,10.1748,2015-04
5540,55,40,浪江,1.37,6.60072,1.07,5.02392,2015-04
5541,55,41,浪江,1.2,5.7072,1.28,6.12768,2015-04
5542,55,42,浪江,1.04,4.86624,1.36,6.54816,2015-04
5543,55,43,浪江,1.11,5.23416,1.39,6.70584,2015-04
5545,55,45,浪江,0.67,2.92152,0.41,1.55496,2015-04
5546,55,46,浪江,0.31,1.02936,0.32,1.08192,2015-04
5547,55,47,浪江,0.31,1.02936,0.3,0.9768,2015-04
5433,54,33,浪江,6.57,33.93192,4.25,21.738,2015-04
5434,54,34,浪江,4.16,21.26496,3.48,17.69088,2015-04
5435,54,35,浪江,3.12,15.79872,3.02,15.27312,2015-04
5436,54,36,浪江,3.01,15.22056,2.8,14.1168,2015-04
5437,54,37,浪江,3.56,18.11136,4.35,22.2636,2015-04
5440,54,40,浪江,1.96,9.70176,1.74,8.54544,2015-04
5441,54,41,浪江,1.66,8.12496,1.98,9.80688,2015-04
5442,54,42,浪江,0.99,4.60344,1.62,7.91472,2015-04
5447,54,47,浪江,0.32,1.08192,0.31,1.02936,2015-04
5333,53,33,浪江,3.62,18.42672,3.93,20.05608,2015-04
5334,53,34,浪江,5.26,27.04656,3.95,20.1612,2015-04
5335,53,35,浪江,4.14,21.15984,3.58,18.21648,2015-04
5337,53,37,浪江,2.64,13.27584,2.62,13.17072,2015-04
5338,53,38,浪江,2.23,11.12088,3.19,16.16664,2015-04
5339,53,39,浪江,3.03,15.32568,2.76,13.90656,2015-04
5340,53,40,浪江,3.71,18.89976,2.52,12.64512,2015-04
5342,53,42,浪江,1.12,5.28672,1.45,7.0212,2015-04
5343,53,43,浪江,3.22,16.32432,1.86,9.17616,2015-04
5344,53,44,浪江,1.05,4.9188,1.18,5.60208,2015-04
5234,52,34,浪江,4.55,23.3148,3.43,17.42808,2015-04
5235,52,35,浪江,4.58,23.47248,4.36,22.31616,2015-04
