ID,X,Y,ity,1cm,1cmyear,100cm,100cmyear,Date
6240,62,40,浪江,0.39,1.44984,0.37,1.34472,2017-04
6241,62,41,浪江,0.39,1.44984,0.43,1.66008,2017-04
6242,62,42,浪江,0,-0.6,0,-0.6,2017-04
6139,61,39,浪江,0.38,1.39728,0.35,1.2396,2017-04
6141,61,41,浪江,0.42,1.60752,0.31,1.02936,2017-04
6142,61,42,浪江,1.06,4.97136,0.82,3.70992,2017-04
6042,60,42,浪江,1.13,5.33928,0.45,1.7652,2017-04
5943,59,43,浪江,0.39,1.44984,0.33,1.13448,2017-04
5944,59,44,浪江,0.34,1.18704,0.44,1.71264,2017-04
5837,58,37,浪江,0.74,3.28944,0.9,4.1304,2017-04
5838,58,38,浪江,1.11,5.23416,0.92,4.23552,2017-04
5843,58,43,浪江,0.38,1.39728,0.39,1.44984,2017-04
5844,58,44,浪江,0.6,2.5536,0.52,2.13312,2017-04
5738,57,38,浪江,1,4.656,1.05,4.9188,2017-04
5739,57,39,浪江,0.9,4.1304,1.03,4.81368,2017-04
5743,57,43,浪江,0.37,1.34472,0.31,1.02936,2017-04
5744,57,44,浪江,0.58,2.44848,0.83,3.76248,2017-04
5633,56,33,浪江,1.48,7.17888,1.4,6.7584,2017-04
5635,56,35,浪江,1.22,5.81232,1.1,5.1816,2017-04
5639,56,39,浪江,1.42,6.86352,3.64,18.53184,2017-04
5640,56,40,浪江,0.86,3.92016,0.93,4.28808,2017-04
5643,56,43,浪江,0.63,2.71128,0.54,2.23824,2017-04
5644,56,44,浪江,0.52,2.13312,0.67,2.92152,2017-04
5645,56,45,浪江,0.44,1.71264,0.37,1.34472,2017-04
5646,56,46,浪江,0.37,1.34472,0.32,1.08192,2017-04
5533,55,33,浪江,1.85,9.1236,1.9,9.3864,2017-04
5534,55,34,浪江,1.7,8.3352,1.32,6.33792,2017-04
5540,55,40,浪江,0.62,2.65872,0.78,3.49968,2017-04
5541,55,41,浪江,1.41,6.81096,4.8,24.6288,2017-04
5542,55,42,浪江,0.91,4.18296,0.83,3.76248,2017-04
5543,55,43,浪江,0.57,2.39592,0.55,2.2908,2017-04
5545,55,45,浪江,0.54,2.23824,0.39,1.44984,2017-04
5546,55,46,浪江,0.25,0.714,0.39,1.44984,2017-04
5547,55,47,浪江,0.34,1.18704,0.34,1.18704,2017-04
5433,54,33,浪江,3.71,18.89976,2.92,14.74752,2017-04
5434,54,34,浪江,3.12,15.79872,2.8,14.1168,2017-04
5435,54,35,浪江,1.5,7.284,1.93,9.54408,2017-04
5436,54,36,浪江,2.13,10.59528,1.8,8.8608,2017-04
5437,54,37,浪江,2.53,12.69768,2.25,11.226,2017-04
5440,54,40,浪江,1.16,5.49696,1,4.656,2017-04
5441,54,41,浪江,0.94,4.34064,1.03,4.81368,2017-04
5442,54,42,浪江,0.68,2.97408,0.9,4.1304,2017-04
5447,54,47,浪江,0.25,0.714,0.3,0.9768,2017-04
5333,53,33,浪江,1.75,8.598,1.84,9.07104,2017-04
5334,53,34,浪江,2.89,14.58984,2.14,10.64784,2017-04
5335,53,35,浪江,2.28,11.38368,2.33,11.64648,2017-04
5337,53,37,浪江,2.42,12.11952,1.96,9.70176,2017-04
5338,53,38,浪江,1.39,6.70584,2.16,10.75296,2017-04
5339,53,39,浪江,1.18,5.60208,1.09,5.12904,2017-04
5340,53,40,浪江,1.25,5.97,1.63,7.96728,2017-04
5342,53,42,浪江,0.67,2.92152,0.85,3.8676,2017-04
5343,53,43,浪江,0.96,4.44576,1.46,7.07376,2017-04
5344,53,44,浪江,0.88,4.02528,0.96,4.44576,2017-04
5234,52,34,浪江,3.68,18.74208,4.6,23.5776,2017-04
5235,52,35,浪江,3.26,16.53456,4.28,21.89568,2017-04
5236,52,36,浪江,2.7,13.5912,3,15.168,2017-04
5237,52,37,浪江,1.63,7.96728,2.14,10.64784,2017-04
5238,52,38,浪江,1.32,6.33792,0.98,4.55088,2017-04
5242,52,42,浪江,2.1,10.4376,0.64,2.76384,2017-04
5243,52,43,浪江,1.14,5.39184,1.18,5.60208,2017-04
5244,52,44,浪江,2.23,11.12088,1.93,9.54408,2017-04
5134,51,34,浪江,3.27,16.58712,2.44,12.22464,2017-04
5135,51,35,浪江,4.58,23.47248,5.21,26.78376,2017-04
5137,51,37,浪江,1.09,5.12904,1.56,7.59936,2017-04
5139,51,39,浪江,1.09,5.12904,1.56,7.59936,2017-04
5140,51,40,浪江,1.95,9.6492,2.17,10.80552,2017-04
5142,51,42,浪江,0.61,2.60616,0.83,3.76248,2017-04
5034,50,34,浪江,3.91,19.95096,2.74,13.80144,2017-04
5036,50,36,浪江,4.1,20.9496,3.8,19.3728,2017-04
5037,50,37,浪江,17.52,91.48512,5.48,28.20288,2017-04
5039,50,39,浪江,12.87,67.04472,8.58,44.49648,2017-04
5040,50,40,浪江,6.55,33.8268,4.2,21.4752,2017-04
5041,50,41,浪江,2.45,12.2772,2.38,11.90928,2017-04
5142,51,42,浪江,1.35,6.4956,1.76,8.65056,2017-04
4934,49,34,浪江,3.43,17.42808,3.23,16.37688,2017-04
4935,49,35,浪江,2.6,13.0656,3.74,19.05744,2017-04
4938,49,38,浪江,4.3,22.0008,4.34,22.21104,2017-04
4939,49,39,浪江,0,-0.6,0,-0.6,2017-04
4940,49,40,浪江,4.22,21.58032,3.96,20.21376,2017-04
4942,49,42,浪江,1.05,4.9188,1.1,5.1816,2017-04
4943,49,43,浪江,2.3,11.4888,3.26,16.53456,2017-04
4946,49,46,浪江,0.64,2.76384,0.56,2.34336,2017-04
4834,48,34,浪江,2.92,14.74752,2.65,13.3284,2017-04
4838,48,38,浪江,7.14,36.92784,4.45,22.7892,2017-04
4840,48,40,浪江,1.34,6.44304,2.34,11.69904,2017-04
4843,48,43,浪江,2.76,13.90656,3.23,16.37688,2017-04
4846,48,46,浪江,0.95,4.3932,1.31,6.28536,2017-04
4734,47,34,浪江,3.58,18.21648,2.93,14.80008,2017-04
4735,47,35,浪江,1.9,9.3864,2.09,10.38504,2017-04
4739,47,39,浪江,2.68,13.48608,2.12,10.54272,2017-04
4741,47,41,浪江,3.88,19.79328,3.1,15.6936,2017-04
4742,47,42,浪江,1.42,6.86352,1.57,7.65192,2017-04
4743,47,43,浪江,1.53,7.44168,1.23,5.86488,2017-04
4746,47,46,浪江,1.44,6.96864,1.43,6.91608,2017-04
4747,47,47,浪江,1.05,4.9188,1.42,6.86352,2017-04
4636,46,36,浪江,1.48,7.17888,1.8,8.8608,2017-04
4637,46,37,浪江,1.48,7.17888,2.09,10.38504,2017-04
4639,46,39,浪江,2.05,10.1748,2.41,12.06696,2017-04
4641,46,41,浪江,2.45,12.2772,4.16,21.26496,2017-04
4642,46,42,浪江,2.08,10.33248,1.83,9.01848,2017-04
4643,46,43,浪江,1.63,7.96728,1.53,7.44168,2017-04
4644,46,44,浪江,1.07,5.02392,1.47,7.12632,2017-04
4646,46,46,浪江,1.42,6.86352,1.08,5.07648,2017-04
4647,46,47,浪江,2.05,10.1748,1.95,9.6492,2017-04
4537,45,37,浪江,2.4,12.0144,2.2,10.9632,2017-04
4538,45,38,浪江,19.78,103.36368,7.71,39.92376,2017-04
4539,45,39,浪江,3.9,19.8984,2.26,11.27856,2017-04
4540,45,40,浪江,4.14,21.15984,2.65,13.3284,2017-04
4541,45,41,浪江,1.81,8.91336,1.5,7.284,2017-04
4543,45,43,浪江,1.7,8.3352,1.79,8.80824,2017-04
4544,45,44,浪江,1.76,8.65056,1.16,5.49696,2017-04
4545,45,45,浪江,1.61,7.86216,1.75,8.598,2017-04
4436,44,36,浪江,2.18,10.85808,1.6,7.8096,2017-04
4440,44,40,浪江,17.26,90.11856,2.3,11.4888,2017-04
4441,44,41,浪江,1.8,8.8608,1.78,8.75568,2017-04
4445,44,45,浪江,1.82,8.96592,1.76,8.65056,2017-04
4446,44,46,浪江,1.6,7.8096,1.48,7.17888,2017-04
4341,43,41,浪江,2.03,10.06968,2.7,13.5912,2017-04
4345,43,45,浪江,1.6,7.8096,1.97,9.75432,2017-04
4347,43,47,浪江,1.8,8.8608,1.42,6.86352,2017-04
4241,42,41,浪江,5.85,30.1476,4.2,21.4752,2017-04
4245,42,45,浪江,1.76,8.65056,1.88,9.28128,2017-04
4246,42,46,浪江,1.58,7.70448,1.97,9.75432,2017-04
4247,42,47,浪江,1.7,8.3352,2.71,13.64376,2017-04
4142,41,42,浪江,2.51,12.59256,4.18,21.37008,2017-04
4042,40,42,浪江,3.7,18.8472,3.84,19.58304,2017-04
4044,40,44,浪江,3.87,19.74072,3.7,18.8472,2017-04
3942,39,42,浪江,4.52,23.15712,3.46,17.58576,2017-04
3943,39,43,浪江,6.98,36.08688,4.98,25.57488,2017-04
3843,38,43,浪江,2.71,13.64376,3.65,18.5844,2017-04
3744,37,44,浪江,2.8,14.1168,2.73,13.74888,2017-04
3745,37,45,浪江,3.59,18.26904,2.76,13.90656,2017-04
3746,37,46,浪江,2.42,12.11952,4.35,22.2636,2017-04
3646,36,46,浪江,2.33,11.64648,4.1,20.9496,2017-04
3546,35,46,浪江,2.01,9.96456,2.32,11.59392,2017-04
3446,34,46,浪江,1.72,8.44032,1.7,8.3352,2017-04
3346,33,46,浪江,3.26,16.53456,2.61,13.11816,2017-04
3349,33,49,浪江,3.97,20.26632,3.7,18.8472,2017-04
3355,33,55,浪江,2.13,10.59528,9.74,50.59344,2017-04
3356,33,56,浪江,1.18,5.60208,1.19,5.65464,2017-04
3357,33,57,浪江,0.81,3.65736,1.35,6.4956,2017-04
3358,33,58,浪江,0.47,1.87032,0.66,2.86896,2017-04
3359,33,59,浪江,0.52,2.13312,0.81,3.65736,2017-04
3360,33,60,浪江,0.48,1.92288,0.68,2.97408,2017-04
3361,33,61,浪江,0.56,2.34336,0.57,2.39592,2017-04
3362,33,62,浪江,0.6,2.5536,0.72,3.18432,2017-04
3363,33,63,浪江,0.66,2.86896,0.65,2.8164,2017-04
3364,33,64,浪江,0.45,1.7652,0.5,2.028,2017-04
3365,33,65,浪江,0.52,2.13312,0.64,2.76384,2017-04
3248,32,48,浪江,3.69,18.79464,4.4,22.5264,2017-04
3249,32,49,浪江,2.71,13.64376,2.9,14.6424,2017-04
3254,32,54,浪江,3.08,15.58848,2.96,14.95776,2017-04
3255,32,55,浪江,3.1,15.6936,3.33,16.90248,2017-04
3265,32,65,浪江,0.56,2.34336,0.6,2.5536,2017-04
3149,31,49,浪江,2.07,10.27992,2.52,12.64512,2017-04
3154,31,54,浪江,3.63,18.47928,4.53,23.20968,2017-04
3164,31,64,浪江,0.71,3.13176,0.76,3.39456,2017-04
3165,31,65,浪江,0.41,1.55496,0.51,2.08056,2017-04
3053,30,53,浪江,2.68,13.48608,3.94,20.10864,2017-04
3054,30,54,浪江,5.73,29.51688,8.73,45.28488,2017-04
3063,30,63,浪江,1.05,4.9188,1.06,4.97136,2017-04
2950,29,50,浪江,1.44,6.96864,2.17,10.80552,2017-04
2952,29,52,浪江,4.74,24.31344,5.5,28.308,2017-04
2953,29,53,浪江,7.74,40.08144,6.2,31.9872,2017-04
2852,28,52,浪江,1.86,9.17616,2.18,10.85808,2017-04
2853,28,53,浪江,2.02,10.01712,1.64,8.01984,2017-04
