ID,X,Y,City,1cm,1cmyear,100cm,100cmyear,Date
5633,56,33,浪江,2.36,11.80416,2.88,14.53728,2014-10
5533,55,33,浪江,3.66,18.63696,2.46,12.32976,2014-10
5433,54,33,浪江,7.26,37.55856,4.85,24.8916,2014-10
5333,53,33,浪江,3.88,19.79328,5.08,26.10048,2014-10
5534,55,34,浪江,3.37,17.11272,2.25,11.226,2014-10
5434,54,34,浪江,4.61,23.63016,3.66,18.63696,2014-10
5334,53,34,浪江,5.34,27.46704,4.48,22.94688,2014-10
5234,52,34,浪江,5.33,27.41448,6.14,31.67184,2014-10
5134,51,34,浪江,7.32,37.87392,8.69,45.07464,2014-10
5034,50,34,浪江,4.82,24.73392,3.75,19.11,2014-10
4934,49,34,浪江,5.63,28.99128,5.3,27.2568,2014-10
4834,48,34,浪江,4.21,21.52776,4.98,25.57488,2014-10
4734,47,34,浪江,3.04,15.37824,4.27,21.84312,2014-10
5635,56,35,浪江,2.45,12.2772,2.18,10.85808,2014-10
5435,54,35,浪江,2.79,14.06424,2.49,12.48744,2014-10
5335,53,35,浪江,6.68,34.51008,6.57,33.93192,2014-10
5235,52,35,浪江,5.57,28.67592,5.16,26.52096,2014-10
5135,51,35,浪江,6.05,31.1988,6.17,31.82952,2014-10
4935,49,35,浪江,5.17,26.57352,5.74,29.56944,2014-10
4735,47,35,浪江,3.23,16.37688,2.93,14.80008,2014-10
5436,54,36,浪江,4.66,23.89296,3.24,16.42944,2014-10
5236,52,36,浪江,5.67,29.20152,6.4,33.0384,2014-10
5036,50,36,浪江,4.95,25.4172,8.93,46.33608,2014-10
4636,46,36,浪江,2.5,12.54,2.97,15.01032,2014-10
4436,44,36,浪江,1.44,6.96864,1.6,7.8096,2014-10
5837,58,37,浪江,1.82,8.96592,1.58,7.70448,2014-10
5437,54,37,浪江,3.94,20.10864,3.45,17.5332,2014-10
5337,53,37,浪江,5.91,30.46296,4.21,21.52776,2014-10
5237,52,37,浪江,5.92,30.51552,5.35,27.5196,2014-10
5137,51,37,浪江,2.9,14.6424,4.28,21.89568,2014-10
5037,50,37,浪江,6.33,32.67048,6.81,35.19336,2014-10
4637,46,37,浪江,2.4,12.0144,2.51,12.59256,2014-10
4537,45,37,浪江,2.59,13.01304,3.88,19.79328,2014-10
#N/A,#N/A,#N/A,,,,,,2014-10
5838,58,38,浪江,1.95,9.6492,1.3,6.2328,2014-10
5738,57,38,浪江,1.99,9.85944,1.85,9.1236,2014-10
5338,53,38,浪江,1.49,7.23144,2.69,13.53864,2014-10
