ID, Y, X, City, 1cm, 1cmyear, 100cm, 100cmyear, Date
0725,07,25,原町,,-0.6,,-0.6,2019-04
0726,07,26,原町,0.13,0.08328,0.07,-0.23208,2019-04
0727,07,27,原町,0.08,-0.17952,0.1,-0.0744,2019-04
0728,07,28,原町,0.12,0.13,0.11,-0.02184,2019-04
0729,07,29,原町,0.09,-0.12696,0.12,0.03072,2019-04
0730,07,30,原町,0.12,0.03072,0.16,0.24096,2019-04
0731,07,31,原町,0.1,-0.0744,0.06,-0.28464,2019-04
0732,07,32,原町,0.1,-0.0744,0.09,-0.12696,2019-04
0733,07,33,原町,0.16,0.24096,0.13,0.08328,2019-04
0734,07,34,原町,0.1,-0.0744,0.2,0.4512,2019-04
0735,07,35,原町,0.11,-0.02184,0.12,0.03072,2019-04
0736,07,36,原町,0.23,0.60888,0.13,0.08328,2019-04
0737,07,37,原町,0.14,0.13584,0.12,0.03072,2019-04
0738,07,38,原町,0.11,-0.02184,0.12,0.03072,2019-04
0739,07,39,小高,0.12,0.03072,0.13,0.08328,2019-04
0740,07,40,小高,0.14,0.13584,0.2,0.4512,2019-04
0741,07,41,小高,0.18,0.34608,0.1,-0.0744,2019-04
0742,07,42,小高,0.15,0.1884,0.11,-0.02184,2019-04
0743,07,43,小高,0.14,0.13584,0.13,0.08328,2019-04
0744,07,44,小高,0.15,0.1884,0.16,0.24096,2019-04
0745,07,45,小高,0.18,0.34608,0.12,0.03072,2019-04
0746,07,46,小高,0.15,0.1884,0.16,0.24096,2019-04
0747,07,47,小高,0.12,0.03072,0.15,0.1884,2019-04
0748,07,48,小高,0.12,0.03072,0.12,0.03072,2019-04
0749,07,49,小高,0.11,-0.02184,0.11,-0.02184,2019-04
0750,07,50,小高,0.1,-0.0744,0.15,0.1884,2019-04
0751,07,51,小高,0.16,0.24096,0.15,0.1884,2019-04
0752,07,52,小高,0.12,0.03072,0.13,0.08328,2019-04
0806,08,06,鹿島,0.11,-0.02184,0.09,-0.12696,2019-04
0807,08,07,鹿島,0.12,0.03072,0.08,-0.17952,2019-04
0808,08,08,鹿島,0.1,-0.0744,0.1,-0.0744,2019-04
0809,08,09,鹿島,0.11,-0.02184,0.1,-0.0744,2019-04
0810,08,10,鹿島,0.12,0.03072,0.1,-0.0744,2019-04
0811,08,11,鹿島,0.12,0.03072,0.11,-0.02184,2019-04
0812,08,12,鹿島,0.11,-0.02184,0.13,0.08328,2019-04
0813,08,13,鹿島,0.14,0.13584,0.1,-0.0744,2019-04
0814,08,14,鹿島,0.12,0.03072,0.06,-0.28464,2019-04
0815,08,15,原町,0.11,-0.02184,0.12,0.03072,2019-04
0816,08,16,原町,0.11,-0.02184,0.14,0.13584,2019-04
0817,08,17,原町,0.13,0.08328,0.14,0.13584,2019-04
0818,08,18,原町,0.12,0.03072,0.13,0.08328,2019-04
0819,08,19,原町,0.09,-0.12696,0.09,-0.12696,2019-04
0820,08,20,原町,0.18,0.34608,0.23,0.60888,2019-04
0821,08,21,原町,0.08,-0.17952,0.14,0.13584,2019-04
0822,08,22,原町,0.09,-0.12696,0.12,0.03072,2019-04
0823,08,23,原町,0.1,-0.0744,0.09,-0.12696,2019-04
0824,08,24,原町,0.09,-0.12696,0.12,0.03072,2019-04
0825,08,25,原町,0.16,0.24096,0.15,0.1884,2019-04
0826,08,26,原町,0.09,-0.12696,0.1,-0.0744,2019-04
0827,08,27,原町,0.12,0.03072,0.13,0.08328,2019-04
0828,08,28,原町,0.1,0.14,0.14,0.13584,2019-04
0829,08,29,原町,0.12,0.03072,0.15,0.1884,2019-04
0830,08,30,原町,0.13,0.08328,0.15,0.1884,2019-04
0831,08,31,原町,0.18,0.34608,0.14,0.13584,2019-04
0832,08,32,原町,0.14,0.13584,0.14,0.13584,2019-04
0833,08,33,原町,0.18,0.34608,0.14,0.13584,2019-04
0834,08,34,原町,0.11,-0.02184,0.14,0.13584,2019-04
0835,08,35,原町,0.11,-0.02184,0.15,0.1884,2019-04
0836,08,36,原町,0.2,0.4512,0.15,0.1884,2019-04
0837,08,37,原町,0.16,0.24096,0.18,0.34608,2019-04
0838,08,38,原町,0.28,0.87168,0.18,0.34608,2019-04
0839,08,39,小高,0.19,0.39864,0.14,0.13584,2019-04
0840,08,40,小高,0.15,0.1884,0.12,0.03072,2019-04
0841,08,41,小高,0.12,0.03072,0.12,0.03072,2019-04
0842,08,42,小高,0.13,0.08328,0.12,0.03072,2019-04
0843,08,43,小高,0.11,-0.02184,0.13,0.08328,2019-04
0844,08,44,小高,0.23,0.60888,0.17,0.29352,2019-04
0845,08,45,小高,0.13,0.08328,0.17,0.29352,2019-04
0846,08,46,小高,0.17,0.29352,0.1,-0.0744,2019-04
0847,08,47,小高,0.12,0.03072,0.16,0.24096,2019-04
0848,08,48,小高,0.19,0.39864,0.12,0.03072,2019-04
0849,08,49,小高,0.11,-0.02184,0.1,-0.0744,2019-04
0850,08,50,小高,0.12,0.03072,0.13,0.08328,2019-04
0851,08,51,小高,0.13,0.08328,0.11,-0.02184,2019-04
0852,08,52,小高,0.16,0.24096,0.11,-0.02184,2019-04
0904,09,04,鹿島,0.14,0.13584,0.11,-0.02184,2019-04
0905,09,05,鹿島,0.14,0.13584,0.07,-0.23208,2019-04
0906,09,06,鹿島,0.13,0.08328,0.11,-0.02184,2019-04
0907,09,07,鹿島,0.12,0.03072,0.09,-0.12696,2019-04
0908,09,08,鹿島,0.13,0.08328,0.11,-0.02184,2019-04
0909,09,09,鹿島,0.14,0.13584,0.09,-0.12696,2019-04
0910,09,10,鹿島,0.15,0.1884,0.1,-0.0744,2019-04
0911,09,11,鹿島,0.17,0.29352,0.11,-0.02184,2019-04
0912,09,12,鹿島,0.14,0.13584,0.11,-0.02184,2019-04
0913,09,13,鹿島,0.08,-0.17952,0.09,-0.12696,2019-04
0914,09,14,鹿島,0.11,-0.02184,0.12,0.03072,2019-04
0915,09,15,原町,0.12,0.03072,0.11,-0.02184,2019-04
0916,09,16,原町,0.09,-0.12696,0.16,0.24096,2019-04
0917,09,17,原町,0.22,0.55632,0.15,0.1884,2019-04
0918,09,18,原町,0.12,0.03072,0.08,-0.17952,2019-04
0919,09,19,原町,0.13,0.08328,0.14,0.13584,2019-04
0920,09,20,原町,0.07,-0.23208,0.13,0.08328,2019-04
0921,09,21,原町,0.18,0.34608,0.08,-0.17952,2019-04
0922,09,22,原町,0.17,0.29352,0.1,-0.0744,2019-04
0923,09,23,原町,0.14,0.13584,0.14,0.13584,2019-04
0924,09,24,原町,0.16,0.24096,0.12,0.03072,2019-04
0925,09,25,原町,0.1,-0.0744,0.09,-0.12696,2019-04
0926,09,26,原町,0.15,0.1884,0.14,0.13584,2019-04
0927,09,27,原町,0.15,0.1884,0.13,0.08328,2019-04
0928,09,28,原町,0.14,0.13584,0.13,0.08328,2019-04
0929,09,29,原町,0.12,0.03072,0.12,0.03072,2019-04
